Code,Index,Name,IsRec,NumSubFleets
midwcCEP,1,midwater trawl on cephalopods,0,1
jigCEP,2,jig on cephalopods,0,0
midwcNGO,3,midwater trawl on Arrow Squid,0,1
jigNGO,4,jig on Arrow Squid,0,0
midwcSQN,5,midwater trawl on Calamari,0,1
jigSQN,6,jig on Calamari,0,0
midwcCUT,7,midwater trawl on Cuttlefish,0,1
jigCUT,8,jig on Cuttlefish,0,0
midwcOCT,9,midwater trawl on pale Octopus,0,1
jigOCT,10,jig on pale Octopus,0,0
midwcFP,11,midwater trawl on planktivores,0,0
dredgeBFS,12,dredge on filter feeders,0,0
netFD,13,gillnet on demersals and ling,0,1
netSH,14,gillnet on sharks,0,3
plineFFH,15,pelagic line on tuna and sharks,0,0
pseineFFH,16,purse seine on tuna and sharks,0,0
pseineFP,17,purse seine on planktivores,0,0
trapBMS,18,trap on macrozoobenthos,0,0
trapFD,19,trap on demersals and ling,0,1
dtrawlBMS,20,demersal trawl on macrozooben.,0,0
dtrawlCEP,21,demersal trawl on cephalopods,0,1
dtrawlNGO,22,demersal trawl on Arrow Squid,0,1
dtrawlSQN,23,demersal trawl on Calamari,0,1
dtrawlCUT,24,demersal trawl on Cuttlefish,0,1
dtrawlOCT,25,demersal trawl on Octopus,0,1
dtrawlFD,26,demersal trawl on demersal ling,0,4
dtrawlFHC,27,demersal trawl on flathead,0,3
dtrawlFSN,28,demersal trawl on roughy,0,3
midwcFD,29,midwater trawl on demersal ling,0,1
dseineFHC,30,danish seine on flathead,0,2
dlineFD,31,demersal line on demersal ling,0,1
dlineFVS,32,demersal line on piscivores,0,0
dlineSH,33,demersal line on sharks,0,1
diveBG,34,dive on benthic grazers,0,0
pseineFVS,35,purse seine on piscivores,0,0
cullPIN,36,cull of pinnipeds,0,0
recfish,37,recreational fisheries,1,2
ptrawlPWN,38,demersal trawl on prawns,0,1
dtrawlFBP,39,demersal trawl on benthopelag,0,1
midwcZL,40,midwater trawl on krill,0,0
trapFDH,41,trap on shallow demersals,0,0
dlineFDH,42,demersal line on shallow dem,0,1
netFDH,43,gill net on shallow demersals,0,0
midwcPWN,44,midwater trawl on prawns,0,0
mowMA,45,mowing of kelp,0,0
