Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries
AQS,0,1,Aquacult_Salmon,Aquaculture Salmon,3,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,1,0,0,1,0,4
AQT,1,1,Aquacult_Tuna,Aquaculture Tuna,2,1,1,1,1,1,1,1,1,1,0,FISH,1,0,0,1,0,0,1,0,4
AQM,2,1,Aquacult_Mollusc,Aquaculture Oysters Mussels and Abalone,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,0,0,1,0,0,1,0,4
AQP,3,1,Aquacult_Crustacean,Aquaculture Prawns,1,1,1,1,1,1,0,0,1,1,0,MOB_EP_OTHER,1,0,0,1,0,0,1,0,4
FPL,4,1,Planktiv_L_Fish,Large planktivorous fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FBG,5,1,Grenadier,Blue grenadier,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FPS,6,1,Planktiv_S_Fish,Small planktivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FVD,7,1,Pisciv_D_Fish,Ocean plank/pisc fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FBM,8,1,Banded_Morwong,Banded morwong,10,1,2,1,9,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FVS,9,1,Pisciv_S_Fish,Shallow piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FDR,10,1,Reef_Fish,Shallow demersal reef fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FVT,11,0,Pisciv_T_Fish,Large piscivorous fish,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FTE,12,1,Epipel_Pisciv_T_Fish,Epipel F feeders,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FTM,13,1,Mesopel_Pisciv_T_Fish,Mesopel F feeder,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FBT,14,0,Southern_Bluefin_T,Southern Bluefin T,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BET,15,0,Bigeye_T,Bigeye Tuna,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FFH,16,1,Flathead,Flatheads,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FMM,17,1,Mesopel_M_Fish,Migratory mesopelagics fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FMN,18,1,Mesopel_N_Fish,Non-migratory mesopelagics fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FBP,19,1,Purple_Wrasse,Purple wrasse,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FDD,20,1,Demersal_D_Fish,Deep demersal fish,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FDH,21,1,Demersal_Herbiv_Fish,Shallow demersal herbivores,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FDS,22,1,Demersal_S_Fish,Other shallow demersal fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FDM,23,1,Magpie_Perch,Magpie perch,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FDT,24,1,Territorial_Fish,Shallow territorial demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FHC,25,1,Herring_Cale,Herring cale,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FBW,26,1,BlueThroat_Wrasse,Blue throat wrasse,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1,4
FSN,27,1,Pink_Snapper,Pink snapper,10,1,2,1,5,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FWT,28,1,Warehou,Warehous and trevalla,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
